state_id,State,TotalPop,Men,Per_Men,Women,Per_Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,rent_mean,hs_degree,male_age_mean,female_age_mean,married,divorced
0,Alabama,4850771,2350806,0.484625228,2499965,0.515374772,3.298507463,65.16865672,28.67313433,0.607462687,0.711940299,0.017910448,3651914,40271.40299,2513.19403,22180.49254,1195.343284,20.94925373,30.66865672,28.09552239,16.82985075,22.55522388,11.60597015,20.90597015,85.4880597,9.414925373,0.220895522,1.204477612,1.140298507,2.528358209,26.18955224,2055509,78.17164179,16.04925373,5.573134328,0.210447761,9.023880597,764.9508748,0.827588197,38.40421587,40.82417498,0.504455213,0.119903098
1,Alaska,738565,386319,0.523067029,352246,0.476932971,5.093103448,48.42068966,1.179310345,31.62758621,5.982758621,0.544827586,530553,66425.44828,5500.827586,31670.55172,2340.862069,13.55517241,17.86206897,31.86896552,18.72758621,20.36551724,14.78965517,14.24482759,47.02413793,12.0137931,1.075862069,24.69655172,9.74137931,5.455172414,11.2,354045,59.63103448,32.83448276,7.220689655,0.296551724,9.655172414,1190.09359,0.916964476,36.50962943,36.86815219,0.483402095,0.114923905
2,Arizona,6809946,3385055,0.49707516,3424891,0.50292484,30.88666667,50.82666667,1.813333333,13.23333333,1.293333333,0.126666667,4690177,45816.66667,2159.933333,22712.2,805.2,20.19333333,28.47333333,30.00666667,22.56666667,23.22666667,13.15333333,11.07333333,77.52666667,10.96666667,0.973333333,3.32,2.186666667,5.033333333,21.7,2953891,72,21.84666667,5.953333333,0.18,9.766666667,1085.995326,0.850804381,39.01052384,40.27001832,0.508046048,0.108649634
3,Arkansas,2977944,1461651,0.490825549,1516293,0.509174451,5.090666667,75.63466667,16.132,0.54,0.692,0.077333333,2183895,39025.08,2859.333333,21449.30667,1437.586667,20.42133333,29.712,28.50666667,17.64,21.6,13.008,19.256,81.816,11.316,0.286666667,1.970666667,1.361333333,3.250666667,23.01333333,1276536,75.23333333,17.18533333,7.376,0.202666667,7.292,715.2278328,0.835063204,38.45583003,40.54316014,0.534282762,0.1253
4,California,38982847,19366579,0.49679745,19616268,0.50320255,30.07068966,54.76206897,2.944827586,1.65,7.070689655,0.29137931,24970109,61046.75862,2232.396552,30416.48276,1022.12069,15.73793103,20.12758621,34.21206897,20.65517241,21.96034483,12.46724138,10.70344828,73.53965517,10.91896552,2.932758621,3.336206897,2.603448276,6.668965517,25.52758621,17993915,71.14827586,18.88103448,9.567241379,0.405172414,8.265517241,1468.453183,0.810351799,37.37415314,39.15220229,0.496873076,0.081860283
5,Colorado,5436519,2731315,0.502401445,2705204,0.497598555,20.0375,74.6578125,1.4828125,0.83125,1.109375,0.1140625,3893361,54353.5625,4014.9375,29647.04688,2427.171875,13.234375,17.01875,35.03125,19.9171875,20.83125,14.5359375,9.68125,71.7375,10.6203125,1.5953125,5.703125,2.3203125,8.025,21.665625,2760076,71.3546875,18.26875,9.984375,0.403125,5.79375,1197.980483,0.90832009,37.52814919,39.09563621,0.528154443,0.105302575
6,Connecticut,3594478,1754046,0.487983512,1840432,0.512016488,11.425,76.0375,6.475,0.125,3.575,0,2599794,74496,1426.625,39419.125,692.25,9.2,11.8625,41.4125,18.0375,22.6,8.1875,9.775,80.05,7.7875,3.1125,3.1,1.1125,4.8625,25.975,1805086,79.3,14.275,6.25,0.15,6.775,1314.159088,0.89512295,39.19659698,41.47844305,0.513013378,0.091818153
7,Delaware,943732,456876,0.484116253,486856,0.515883747,8.533333333,65.36666667,20.1,0.4,2.866666667,0,697329,61294.66667,1284.333333,31278.33333,686,12.3,18.36666667,36.9,18.5,23.43333333,9.4,11.76666667,82,8.2,1.966666667,1.933333333,1.166666667,4.666666667,25.76666667,441513,79.56666667,15.96666667,4.333333333,0.133333333,6.433333333,1103.488103,0.876217685,39.6664537,41.55436,0.493769907,0.103966852
8,District of ,672391,319046,0.474494751,353345,0.525505249,10.7,36,46.9,0.2,3.7,0,503112,77649,1075,50832,645,17.4,25.5,61.7,15.3,16.7,2.7,3.6,34,5.4,35.4,13.2,6.2,5.7,30,357701,71,24.6,4.3,0.1,8,1459.425053,0.881279796,36.15218316,38.82915235,0.318852347,0.087590714
9,Florida,20950838,10233407,0.488448577,10717431,0.511551423,13.72537313,68.12089552,14.20149254,0.395522388,1.543283582,0.076119403,14964507,47144.32836,2182.074627,25265.97015,1076.955224,17.15074627,24.90149254,31.20895522,21.24328358,24.90895522,12.07462687,10.57761194,79.83731343,10.26268657,1.07761194,1.465671642,2.343283582,5.008955224,26.39104478,9376271,76.19552239,17.34029851,6.298507463,0.156716418,7.765671642,1143.950813,0.864726834,41.80075617,43.72496117,0.501411558,0.117483404
10,Georgia,10201635,4968887,0.48706771,5232748,0.51293229,6.233333333,62.56415094,28.14465409,0.189937107,1.201257862,0.04591195,7155973,43268.78616,3424.616352,22305.30189,1612.534591,21.19245283,30.33081761,29.15786164,17.68490566,22.55408805,12.73081761,17.87232704,82.02075472,10.77798742,0.529559748,1.510691824,1.559119497,3.611320755,25.91006289,4606329,75.21886792,18.5163522,6.116352201,0.15408805,8.053459119,950.9444776,0.843048948,36.75383981,38.81215851,0.504201387,0.100403287
11,Hawaii,1421658,713981,0.50221713,707677,0.49778287,9.72,26,0.8,0.14,30.76,14.46,1016468,68663,3762.2,33930.6,2151.2,11.66,13.775,29.56,28.22,23.4,8.26,10.54,64.78,11.7,2.66,10.72,4.16,6.02,20.92,671758,65.4,26.84,7.54,0.18,4.12,1719.215219,0.919734048,39.07615536,41.0071272,0.520914881,0.08803869
12,Idaho,1657375,830627,0.501170224,826748,0.498829776,12.71363636,82.92045455,0.377272727,1.515909091,0.645454545,0.086363636,1168167,46171.93182,3816.727273,23335,1778.318182,15.47272727,20.32045455,29.81818182,18.24090909,20.63409091,16.49318182,14.82727273,75.61363636,11.275,0.643181818,4.297727273,1.911363636,6.245454545,21.53181818,748658,73.48636364,17.30681818,8.784090909,0.427272727,5.622727273,806.8065013,0.889379054,37.59999818,38.69897851,0.566723041,0.114815608
13,Illinois,12854526,6312600,0.491079951,6541926,0.508920049,4.823529412,87.04803922,5.148039216,0.153921569,1.221568627,0.020588235,9043520,52930.38235,2697.509804,27255.21569,1258.117647,13.95588235,19.57745098,30.80490196,18.33431373,22.28235294,10.64803922,17.93529412,82.55098039,8.556862745,1.065686275,2.432352941,1.242156863,4.141176471,23.55098039,6181653,79.11470588,14.11470588,6.539215686,0.225490196,6.611764706,1026.726824,0.866393654,37.47321725,39.48500016,0.48943056,0.089317069
14,Indiana,6614418,3258279,0.492602524,3356139,0.507397476,3.880434783,90.75434783,2.658695652,0.188043478,1.006521739,0.02173913,4850327,51877.40217,2433.826087,25817.6087,1191.173913,13.17608696,18.25434783,28.79130435,16.49021739,20.95326087,10.93586957,22.82608696,83.2576087,9.365217391,0.475,2.05326087,1.391304348,3.455434783,24.35978261,3124295,83.34130435,11.1576087,5.284782609,0.215217391,5.445652174,810.2310957,0.863061275,37.69386866,39.75005854,0.5072915,0.1221103
15,Iowa,3118102,1548035,0.496467082,1570067,0.503532918,4.539393939,91.38989899,1.378787879,0.294949495,1.082828283,0.060606061,2302495,53436.08081,2990.69697,28497.66667,1581.848485,11.5,15.03737374,32.12323232,16.31515152,21.06262626,11.57777778,18.92121212,79.84646465,9.007070707,0.480808081,3.786868687,1.484848485,5.386868687,19.55959596,1599718,77.5030303,13.2020202,8.996969697,0.293939394,3.895959596,736.4895535,0.906114058,39.0826743,41.25668307,0.548611256,0.107061618
16,Kansas,2903820,1445980,0.497957862,1457840,0.502042138,9.754285714,84.74095238,1.748571429,0.779047619,0.803809524,0.054285714,2069337,50022.57143,4267.219048,26215.5619,1855.638095,12.36857143,16.26285714,34.04380952,16.52095238,20.32095238,14.05142857,15.0647619,79.28571429,9.69047619,0.218095238,4.011428571,1.473333333,5.316190476,17.71809524,1420045,70.75619048,18.64761905,10.24571429,0.358095238,3.99047619,825.9006349,0.886351911,37.78248159,39.69567942,0.541135618,0.112771981
17,Kentucky,4424376,2179025,0.49250448,2245351,0.50749552,2.301666667,91.81,3.649166667,0.1825,0.513333333,0.025833333,3325139,41470.49167,3282.208333,22172.175,1532.691667,21.30416667,28.85083333,28.6875,17.045,22.00333333,12.18833333,20.08666667,82.60583333,10.4875,0.411666667,1.930833333,1.37,3.198333333,25.4075,1938150,76.565,16.6825,6.513333333,0.238333333,7.6725,735.5911704,0.833555386,38.06263818,40.09889984,0.52532082,0.125164555
18,Louisiana,4663461,2281239,0.489172955,2382222,0.510827045,3.490625,61.7296875,31.775,0.6171875,0.8078125,0.0203125,3447638,42654.07813,3072.84375,22939.03125,1358.84375,21.9,30.8828125,29.125,19.5984375,22.784375,14.35625,14.1296875,84.74375,8.9625,0.5296875,1.6578125,1.8609375,2.2671875,26.5265625,2031238,76.9328125,17.3125,5.5828125,0.1796875,7.871875,835.3016366,0.822516528,37.50171487,39.7635242,0.459680583,0.1115811
19,Maine,1330158,651040,0.489445615,679118,0.510554385,1.4125,94.39375,0.775,0.76875,0.775,0.0125,1055130,49680.8125,1882.25,27791.3125,934.125,13.99375,18.725,33.6375,18.8625,22.00625,12.8125,12.66875,78.25625,10.18125,0.40625,3.9875,1.46875,5.7,23.5,658693,75.575,14.1625,10.15,0.11875,5.8,846.1759178,0.911865579,42.13611126,43.973697,0.534639421,0.133645421
20,Maryland,5996079,2906277,0.484696249,3089802,0.515303751,5.833333333,68.11666667,19.8375,0.191666667,3.295833333,0.025,4248702,72541.16667,2438.5,35127.79167,982.4166667,10.85833333,15.44583333,39.99166667,18.12083333,22.57083333,9.770833333,9.566666667,78.42083333,8.941666667,3.858333333,2.770833333,1.266666667,4.758333333,30.59583333,3040792,73.06666667,21.12916667,5.666666667,0.125,6.120833333,1408.575182,0.886415892,38.02309031,40.15053458,0.507877874,0.086396811
21,Massachusetts,6789319,3293426,0.4850893,3495893,0.5149107,8.992857143,77.82857143,5.7,0.285714286,4.028571429,0.021428571,4931669,71030.71429,2446.357143,38478.71429,1056.571429,11.2,15.61428571,41.83571429,18.42142857,22.1,8.592857143,9.05,73.18571429,7.564285714,6.471428571,5.3,2.121428571,5.378571429,25.31428571,3525672,77.85714286,13.62857143,8.342857143,0.157142857,5.842857143,1216.01093,0.884996124,38.68437176,40.96441873,0.489756305,0.081661227
22,Michigan,9925568,4880579,0.491717854,5044989,0.508282146,3.460240964,88.09879518,3.874698795,1.262650602,0.997590361,0.01686747,7435282,47530.51807,1699.626506,25595.71084,893.8795181,15.66506024,22.33012048,29.68072289,19.61686747,22.42891566,10.71325301,17.5626506,80.70722892,9.837349398,0.73253012,2.86746988,1.456626506,4.408433735,23.10843373,4524874,80.47590361,12.80240964,6.465060241,0.268674699,7.620481928,918.5081765,0.884009966,38.82342372,40.83597508,0.486254453,0.108116146
23,Minnesota,5490726,2731831,0.497535481,2758895,0.502464519,4.275862069,88.93793103,1.629885057,1.935632184,1.43908046,0.029885057,4010716,57530,2544.563218,29711.57471,1141.448276,11.04022989,14.2183908,33.3091954,17.25402299,21.08965517,11.72298851,16.61609195,78.60344828,9.402298851,1.088505747,3.549425287,1.281609195,6.07816092,21.3862069,2904103,78.52298851,13.15632184,8.075862069,0.240229885,3.954022989,960.9842521,0.916726437,38.45946075,40.24159912,0.52726125,0.092165589
24,Mississippi,2986220,1448717,0.485134049,1537503,0.514865951,2.395121951,54.31585366,41.34512195,0.509756098,0.513414634,0.015853659,2220809,37018.71951,3243.134146,20127.7439,1640.743902,24.94146341,35.12682927,28.54390244,17.97195122,21.48414634,12.28780488,19.70853659,84.4902439,9.9,0.362195122,1.431707317,1.75,2.067073171,26.23902439,1221828,75.19390244,18.78292683,5.801219512,0.223170732,10.00731707,738.5889818,0.80753812,37.27257356,39.77451034,0.47640302,0.112409573
25,Missouri,6075300,2981332,0.490730005,3093968,0.509269995,2.804347826,90.56695652,3.56173913,0.499130435,0.631304348,0.084347826,4567241,44435.30435,2751.504348,23019.48696,1280.834783,17.26173913,24.01391304,29.28782609,18.39565217,21.79913043,12.40347826,18.11913043,80.00086957,10.85043478,0.427826087,2.446086957,1.360869565,4.91826087,23.66869565,2867393,76.86,14.52347826,8.345217391,0.264347826,6.026086957,834.919677,0.87459022,38.5692186,40.71631158,0.514318292,0.114924284
26,Montana,1029862,517860,0.50284407,512002,0.49715593,2.9,86.57321429,0.221428571,7.773214286,0.467857143,0.030357143,794084,47746.75,4772.928571,27103.19643,2471.178571,14.58928571,18.54821429,36.61607143,17.71071429,19.8625,16.18035714,9.641071429,69.06428571,9.475,0.571428571,8.991071429,1.7625,10.14821429,17.52678571,497995,65.2875,20.41785714,13.18571429,1.123214286,4.525,756.5043173,0.923421698,40.63019642,41.82490208,0.54777327,0.11520956
27,Nebraska,1893921,943547,0.498197654,950374,0.501802346,6.544086022,89.51182796,0.81827957,1.191397849,0.513978495,0.072043011,1350097,51928.35484,4430.763441,27940.7957,2344.376344,11.19569892,14.68709677,35.00967742,15.6827957,20.42150538,14.29892473,14.59354839,76.13010753,9.103225806,0.204301075,4.853763441,1.283870968,8.433333333,18.07956989,987216,70.71827957,15.84516129,13.04946237,0.396774194,2.847311828,834.5603653,0.90451292,37.67637876,39.52109217,0.552248139,0.09655635
28,Nevada,2887725,1450091,0.502156888,1437634,0.497843112,17.31764706,72.29411765,2.188235294,3.858823529,2.029411765,0.223529412,1943710,56859,6400.470588,28215.35294,2405.058824,12.7,18.75882353,29.38235294,20.27647059,20.94117647,17.64117647,11.73529412,73.03529412,11.37647059,3.576470588,5.929411765,1.458823529,4.617647059,21.73529412,1341358,70.5,22.26470588,7.064705882,0.164705882,7.394117647,1140.969196,0.842958775,38.3662792,39.20413541,0.48069792,0.130725783
29,New Hampshire,1331848,659131,0.494899568,672717,0.505100432,2.32,92.95,1.02,0.19,1.82,0.02,1034685,64901.9,2284.2,34212.9,967.3,9.27,11.99,37.83,17.58,23.13,9.64,11.79,79.88,8.65,0.71,3.24,1.57,5.96,25.4,713424,77.52,14.66,7.71,0.11,4.54,1103.867774,0.915836795,40.34970295,42.07476423,0.542287949,0.112248974
30,New Jersey,8960161,4372321,0.487973486,4587840,0.512026514,16.93809524,62.44285714,11.33809524,0.1,7.104761905,0.004761905,6142332,77047.7619,1512.380952,38538.61905,709.4285714,10.4952381,15.15238095,40.21428571,17.2047619,24.03333333,7.89047619,10.62857143,75.22380952,7.99047619,7.971428571,2.776190476,1.766666667,4.252380952,30.53333333,4388024,80.73809524,14.36190476,4.752380952,0.142857143,7.119047619,1394.153269,0.879477604,38.74155033,41.01243149,0.524018876,0.069932348
31,New Mexico,2084828,1032086,0.495046114,1052742,0.504953886,47.38181818,41.98484848,1.254545455,6.881818182,0.757575758,0.021212121,1471669,41197.21212,3317.666667,22967,2057.69697,21.74242424,30.29393939,32.96969697,22.21818182,22.09393939,13.05454545,9.660606061,76.90606061,10.88787879,0.560606061,3.287878788,2.175757576,6.178787879,20.16969697,879201,65.57575758,26.82727273,7.190909091,0.406060606,7.566666667,872.7725961,0.838595261,38.75755188,40.35117272,0.488467944,0.118065122
32,New York,19798228,9604111,0.485099525,10194117,0.514900475,7.648387097,81.32096774,5.811290323,0.374193548,2.827419355,0.019354839,13741921,58309.25806,1691.903226,30045.35484,771.016129,14.01612903,19.70967742,35.78387097,19.61290323,22.73225806,9.80483871,12.06612903,74.50483871,8.441935484,6.556451613,4.687096774,1.612903226,4.196774194,25.71774194,9467631,75.02903226,18.26129032,6.485483871,0.225806452,6.577419355,1256.308767,0.847103681,38.17734159,40.47469107,0.485906718,0.073566702
33,North Carolina,10052564,4895368,0.486977054,5157196,0.513022946,7.092,68.111,20.163,1.549,1.139,0.036,7309766,44551.67,2310.61,24339.2,1134.24,18.322,27.051,30.847,19.304,22.037,11.708,16.105,82.442,10.115,0.432,1.754,1.321,3.935,25.188,4571020,76.263,16.854,6.697,0.187,7.965,883.801026,0.855249525,38.37014683,40.65856397,0.542052959,0.095942545
34,North Dakota,745475,382121,0.512587277,363354,0.487412723,2.781132075,87.60754717,0.877358491,6.577358491,0.494339623,0.018867925,560530,59795.96226,5714.641509,34084.22642,3114.075472,10.62830189,11.77735849,36.53396226,16.26603774,19.17924528,15.26981132,12.7490566,74.20377358,9.167924528,0.324528302,6.271698113,1.252830189,8.790566038,18.31886792,400454,67.89811321,16.59433962,14.88679245,0.616981132,2.728301887,753.6154895,0.906365091,38.47001936,40.35234545,0.519974273,0.094715
35,Ohio,11609756,5686081,0.489767485,5923675,0.510232515,2.615909091,90.28522727,4.080681818,0.146590909,0.931818182,0.019318182,8761633,51742.20455,1976.477273,26332.69318,915.6704545,14.50795455,20.68636364,30.58068182,17.21363636,21.75,9.963636364,20.49659091,84.14659091,8.235227273,0.610227273,2.271590909,1.184090909,3.563636364,24.475,5488180,81.91363636,12.36704545,5.523863636,0.201136364,6.084090909,820.9505011,0.879303262,38.65983584,40.90969898,0.492931657,0.11556544
36,Oklahoma,3896251,1930615,0.495505808,1965636,0.504494192,8.827272727,70.91298701,3.377922078,8.898701299,0.757142857,0.11038961,2802583,46219.85714,2744.454545,23887.61039,1373.064935,17.08571429,23.00909091,30.46103896,17.68051948,21.85844156,14.2,15.8012987,82.43376623,10.01688312,0.292207792,2.175324675,1.171428571,3.897402597,21.79350649,1746419,72.01428571,19.55714286,8.046753247,0.387012987,5.853246753,792.448951,0.85648225,37.45743385,39.22686022,0.520895064,0.129460907
37,Oregon,4025127,1993822,0.495343874,2031305,0.504656126,11.72777778,80.93333333,0.736111111,1.716666667,1.602777778,0.266666667,2948763,48502.5,2853.333333,26512.25,1382.305556,15.90833333,21.21666667,32.875,19.3,21.69166667,12.66944444,13.46111111,74.16388889,10.4,1.116666667,5.058333333,2.336111111,6.933333333,20.18055556,1885983,72.42222222,18.08611111,9.238888889,0.263888889,7.455555556,1024.740689,0.897457572,39.66620534,41.31706391,0.524143091,0.118893311
38,Pennsylvania,12790505,6260160,0.489438064,6530345,0.510561936,4.188059701,88.25373134,4.507462687,0.123880597,1.441791045,0.002985075,9740191,53281.8806,1526.119403,27757.01493,732.4477612,12.83283582,18.87761194,31.90149254,18.06567164,22.22985075,10.59701493,17.18955224,80.31641791,9.058208955,1.605970149,3.613432836,1.182089552,4.217910448,25.4,6096977,82.13432836,11.64179104,6.004477612,0.21641791,6.031343284,947.2330702,0.887513217,39.46592958,41.93393472,0.502553529,0.088539118
39,Rhode Island,1056138,512581,0.48533525,543557,0.51466475,7.46,84.34,3,0.32,2.5,0.06,784492,69906.4,2080.8,38342.6,1026.8,10.02,12.32,41.88,18.88,22.72,7.26,9.28,80.56,8.08,1.88,3.68,1.2,4.56,24.8,526071,80.22,13.46,6.22,0.14,5.86,1062.200648,0.869462381,39.28317071,41.79052087,0.503016349,0.099594048
40,South Carolina,4893444,2376759,0.485702708,2516685,0.514297292,4.495652174,57,35.49130435,0.354347826,0.804347826,0.047826087,3673580,42126.78261,2125.717391,22959.34783,1039.847826,20.06304348,30.45,28.74347826,18.63695652,23.21086957,10.62173913,18.77608696,83.05434783,10.42826087,0.558695652,1.693478261,1.219565217,3.032608696,26.06086957,2181046,78.02173913,16.40217391,5.408695652,0.17173913,8.773913043,859.6429987,0.845280625,38.65729644,40.75325771,0.519811252,0.09959415
41,South Dakota,855444,430587,0.503349138,424857,0.496650862,2.571212121,80.18333333,0.556060606,13.89242424,0.718181818,0.062121212,629704,50408.74242,4226.939394,27241.60606,2516.515152,16.20606061,19.83636364,36.93787879,16.76969697,20.16212121,13.69545455,12.43636364,73.60454545,8.960606061,0.477272727,5.898484848,1.436363636,9.622727273,16.96666667,438339,65.00151515,20.33030303,13.91060606,0.771212121,4.821212121,676.7777881,0.905594375,39.05982375,40.67973148,0.546391875,0.103817656
42,Tennessee,6597381,3217073,0.487628803,3380308,0.512371197,3.388421053,86.43157895,7.252631579,0.258947368,0.683157895,0.042105263,4916862,43016.61053,2696.8,23161.30526,1466.4,18.45578947,26.19578947,28.37578947,17.44947368,22.36947368,11.53578947,20.27789474,84.24842105,9.297894737,0.272631579,1.285263158,1.281052632,3.618947368,26.51578947,2996610,75.99368421,15.79578947,7.996842105,0.213684211,7.344210526,841.0186904,0.847293979,38.51897463,40.56771145,0.521084499,0.119211324
43,Texas,27419612,13616977,0.496614504,13802635,0.503385496,34.51850394,56.55787402,6.146062992,0.333464567,0.980708661,0.066929134,17512737,49894.33858,4842.681102,24859.01969,2163.555118,16.33503937,23.02362205,29.39566929,18.38267717,21.70826772,15.86535433,14.65354331,80.53149606,11.37204724,0.312598425,2.364566929,1.42992126,3.991732283,22.93425197,12689069,73.33897638,17.4484252,8.92992126,0.282677165,6.028346457,988.0275337,0.803378241,36.04271883,37.78508922,0.525589073,0.098016238
44,Utah,2993941,1506614,0.503221005,1487327,0.496778995,8.944827586,85.34482759,0.434482759,2.737931034,0.786206897,0.310344828,1942342,59208.75862,4973.689655,24433.75862,1565.827586,12.18965517,14.62068966,32.30689655,19.15862069,22.28965517,13.33793103,12.91034483,75.85172414,11.04827586,0.762068966,4.617241379,1.613793103,6.103448276,20.09655172,1412214,75.5862069,18.20689655,5.944827586,0.25862069,4.365517241,1079.138994,0.910960708,33.55665655,34.59163431,0.575934892,0.080648738
45,Vermont,624636,308026,0.493128798,316610,0.506871202,1.678571429,94.25,0.842857143,0.35,0.907142857,0.021428571,493441,55252.71429,2403.214286,30572.92857,1200.357143,11.6,15.23571429,37.75,18.17142857,21.07857143,11.35714286,11.63571429,76.57142857,9.435714286,0.692857143,4.535714286,1.307142857,7.421428571,24.25714286,327264,75.52857143,14.22142857,9.921428571,0.321428571,4.528571429,944.531722,0.913276129,41.56237785,42.99969462,0.539552796,0.116564839
46,Virginia,8365952,4113988,0.491753718,4251964,0.508246282,5.128571429,71.68421053,18.39774436,0.263157895,2.062406015,0.030827068,6051620,56270.03759,3639.067669,28912,1719.150376,14.36766917,19.87218045,34.35413534,18.53759398,22.92330827,10.77142857,13.41654135,80.39022556,9.266917293,1.645864662,2.613533835,1.742857143,4.343609023,27.6406015,4084035,74.79022556,19.4593985,5.566165414,0.185714286,6.033834586,1313.526959,0.880726831,37.90656091,39.77507506,0.536607807,0.090183934
47,Washington,7169967,3580888,0.499428798,3589079,0.500571202,14,76.37692308,1.241025641,2.020512821,2.674358974,0.287179487,5081381,54112.46154,2385.487179,27839.10256,1061.307692,15.06666667,19.46666667,33.31538462,18.64358974,21.35641026,13.92051282,12.75128205,74.57692308,10.88205128,1.905128205,4.312820513,2.092307692,6.228205128,23.18974359,3418123,70.92051282,21.16923077,7.671794872,0.238461538,6.702564103,1131.994584,0.897167525,38.20438153,39.66233778,0.52361446,0.109557106
48,West Virginia,1836843,907621,0.494120074,929222,0.505879926,1.22,94.43090909,2.301818182,0.178181818,0.436363636,0.02,1446498,41701.90909,3238.363636,22859.61818,1363.181818,18.57454545,26.37272727,29.19090909,19.75636364,22.03818182,14.04181818,14.98,82.32,10.04909091,0.423636364,2.710909091,1.254545455,3.254545455,28.12,746958,76.07636364,18.90181818,4.856363636,0.154545455,8.063636364,674.7191203,0.854273358,40.70328166,42.78294751,0.517214113,0.131354038
49,Wisconsin,5763217,2864115,0.496964629,2899102,0.503035371,3.659722222,89.275,1.593055556,2.675,1.2125,0.022222222,4328520,53849.41667,1797.958333,28390.16667,913.3333333,11.94444444,16.2625,30.88472222,17.35277778,21.62222222,11.1625,18.97361111,80.67361111,8.690277778,0.619444444,3.316666667,1.436111111,5.268055556,22.34305556,2939880,79.14027778,13.46666667,7.105555556,0.284722222,4.570833333,844.0830817,0.896382668,38.60147661,40.22524271,0.508676949,0.101384254
50,Wyoming,583200,298301,0.511490055,284899,0.488509945,8.169565217,86.76956522,0.582608696,1.765217391,0.752173913,0.039130435,432814,59065.21739,4641.608696,30665.43478,2351.478261,11.22608696,13.12608696,33.23478261,18.03043478,19.29130435,16.14347826,13.30434783,75.37826087,10.4826087,1.482608696,4.9,1.895652174,5.860869565,19.19565217,293633,70.34782609,21.48695652,7.795652174,0.37826087,4.282608696,879.678947,0.923409459,37.70483068,38.76463851,0.550135946,0.116510811
